"filename", "language", "CSV", "Markdown", "JSON", "JSON with Comments", "C++", "C", "comment", "blank", "total"
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/time_sync.cpp", "C++", 0, 0, 0, 0, 131, 0, 0, 31, 162
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/time_sync.hpp", "C++", 0, 0, 0, 0, 24, 0, 0, 17, 41
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/tls_connection.cpp", "C++", 0, 0, 0, 0, 255, 0, 0, 39, 294
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/tls_connection.hpp", "C++", 0, 0, 0, 0, 64, 0, 0, 29, 93
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/main.cpp", "C++", 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/p13n.hpp", "C++", 0, 0, 0, 0, 75, 0, 0, 14, 89
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/pwm_audio.c", "C", 0, 0, 0, 0, 0, 652, 69, 113, 834
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/pwm_audio.h", "C++", 0, 0, 0, 0, 51, 0, 131, 18, 200
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/address_rundown.cpp", "C++", 0, 0, 0, 0, 25, 0, 2, 7, 34
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/address_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
